time,open,high,low,close,EMA,SMMA,Volume,Bollinger Bars Wicks (Open),Bollinger Bars Wicks (High,Bollinger Bars Wicks (Low),Bollinger Bars Wicks (Close),Bollinger Bars Body (Open),Bollinger Bars Body (High,Bollinger Bars Body (Low),Bollinger Bars Body (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,OnBalanceVolume,ATR
1731445200,4.5,4.5,4.49,4.49,4.510893304932748,4.514965501761696,529,4.5,4.5,4.49,4.49,4.5,4.5,4.49,4.49,46.45651802735548,49.16216204168082,NaN,NaN,NaN,NaN,-0.006321978637613078,-0.0011224420914528466,0.005199536546160231,-12842490,0.047177993797991126
1731531600,4.49,4.54,4.49,4.51,4.510714643946198,4.514256144367168,45649,4.54,4.54,4.49,4.49,4.49,4.54,4.49,4.51,49.41576358829383,49.074454521584585,NaN,NaN,NaN,NaN,-0.005247141711041524,-0.0013593905926416738,0.00388775111839985,-12796841,0.04737956566956318
1731618000,4.52,4.54,4.5,4.5,4.508571715156958,4.512219552314716,27067,4.54,4.54,4.5,4.5,4.52,4.54,4.5,4.5,47.98766336882971,49.13307655292714,NaN,NaN,NaN,NaN,-0.004972011432551467,-0.0023272631722894843,0.0026447482602619827,-12823908,0.046852453836022954
1731877200,4.5,4.55,4.5,4.55,4.516857372125567,4.517616759126899,20967,4.55,4.55,4.5,4.5,4.5,4.55,4.5,4.55,54.991589245886935,49.49372119263257,NaN,NaN,NaN,NaN,-0.0013721525231674705,0.0009295576063026445,0.002301710129470115,-12802941,0.047077278562021305
1731963600,4.56,4.65,4.56,4.61,4.535485897700453,4.530814364965914,14839,4.65,4.65,4.56,4.56,4.56,4.65,4.56,4.61,61.66302028320012,50.26471419923992,NaN,NaN,NaN,NaN,0.0047641753801847195,0.008256929354701015,0.003492753974516295,-12788102,0.050857472950448394
1732050000,4.62,4.63,4.62,4.63,4.554388718160363,4.544983741399355,60689,4.63,4.63,4.62,4.62,4.62,4.63,4.62,4.63,63.59985205324645,51.24506585028046,NaN,NaN,NaN,NaN,0.009605071388798975,0.015499093210515014,0.005894021821716038,-12727413,0.048653367739702046
1732136400,4.62,4.8,4.62,4.8,4.60351097452829,4.581414635485161,13577,4.8,4.8,4.62,4.62,4.62,4.8,4.62,4.8,75.11039153983754,53.38680860506363,NaN,NaN,NaN,NaN,0.022931005686553277,0.034557778929907634,0.011626773243354357,-12713836,0.058035270044009026
1732222800,4.79,4.79,4.76,4.76,4.634808779622632,4.606926830415852,53059,4.79,4.79,4.76,4.76,4.79,4.79,4.76,4.76,69.5383699598301,55.13054981841769,NaN,NaN,NaN,NaN,0.02742265630334658,0.045905093622537585,0.018482437319191004,-12766895,0.056747036469436955
1732482000,4.74,5.08,4.74,5.08,4.723847023698106,4.674508711785016,105216,5.08,5.08,4.74,4.74,4.74,5.08,4.74,5.08,81.41594722612132,57.332898944917915,NaN,NaN,NaN,NaN,0.049053546503607645,0.07979937044870056,0.030745823945092916,-12661679,0.07697939100733431
1732568400,5.05,5.18,5.03,5.16,4.8110776189584845,4.743864610101442,131197,5.18,5.18,5.03,5.03,5.05,5.18,5.03,5.16,83.18152197577666,59.661360553536376,NaN,NaN,NaN,NaN,0.06486501075365479,0.1118270873871614,0.046962076633506614,-12530482,0.08219514879252467
1732654800,5.11,5.39,5.11,5.39,4.926862095166787,4.836169665801235,85960,5.39,5.39,5.11,5.11,5.11,5.39,5.11,5.39,87.0042238776928,62.262872298005995,NaN,NaN,NaN,NaN,0.0856249175682306,0.15399322359379486,0.06836830602556426,-12444522,0.09632406673591572
1732741200,5.38,5.38,5.3,5.35,5.011489676133429,4.9095739992582015,68483,5.38,5.38,5.3,5.3,5.38,5.38,5.3,5.35,83.45170971546978,64.52507362500573,NaN,NaN,NaN,NaN,0.09097221795760232,0.18208357847256718,0.09111136051496485,-12513005,0.0958723476833503
1732827600,5.33,5.38,5.33,5.38,5.085191740906743,4.976777713649887,190103,5.38,5.38,5.33,5.33,5.33,5.38,5.33,5.38,83.98003687812304,66.82501260648073,NaN,NaN,NaN,NaN,0.09063877328977862,0.20440982712718814,0.11377105383740951,-12322902,0.09259575142025385
1733086800,5.4,5.46,5.39,5.4,5.148153392725394,5.0372380402713315,151963,5.46,5.46,5.39,5.39,5.4,5.46,5.39,5.4,84.33901041493112,69.43825843961393,NaN,NaN,NaN,NaN,0.08591746665806105,0.2211678871599858,0.13525042050192476,-12170939,0.09169605489023572
1733173200,5.41,5.41,5.28,5.36,5.190522714180315,5.083346891661142,16475,5.41,5.41,5.28,5.28,5.41,5.41,5.28,5.36,80.45595323579413,71.86678952593098,NaN,NaN,NaN,NaN,0.07466854873472087,0.22858610642032584,0.15391755768560497,-12187414,0.09443205096950459
1733259600,5.35,5.36,5.17,5.25,5.202418171344252,5.1071544785666925,65904,5.36,5.36,5.17,5.17,5.35,5.36,5.17,5.25,70.80194137448817,73.39437365351628,NaN,NaN,NaN,NaN,0.05528051618643712,0.22301820291865138,0.16773768673221426,-12253318,0.10125833304311142
1733346000,5.22,5.33,5.22,5.32,5.225934537075402,5.137560981628594,19386,5.33,5.33,5.22,5.22,5.22,5.33,5.22,5.32,73.02051259825673,75.18243431276107,NaN,NaN,NaN,NaN,0.04316858098417009,0.22169841296242687,0.17852983197825678,-12233932,0.10188273782574633
1733432400,5.32,5.32,5.26,5.32,5.2447476296603215,5.163623698538795,21290,5.32,5.32,5.26,5.26,5.32,5.32,5.26,5.32,73.02051259825673,76.47021455221605,NaN,NaN,NaN,NaN,0.03168646389887639,0.21813791185185227,0.18645144795297589,-12233932,0.09889111369533592
